id_inventario,id_bodega,item,cantidad,costo_unitario,motivo_rechazo,cantidad_clean,costo_clean
INV5002,BOD999,Producto 120,58,104.91,Bodega no existente (999); ,58,104.91
INV5005,,Producto 57,488,228.6,ID Bodega Nulo; ,488,228.6
INV5009,BOD115,Producto 4,sin dato,277.58,Cantidad inválida; ,0,277.58
INV5026,BOD117,Producto 47,,29.53,Cantidad inválida; ,0,29.53
INV5034,BOD999,Producto 27,25,338.68,Bodega no existente (999); ,25,338.68
INV5049,BOD999,Producto 79,90,247.79,Bodega no existente (999); ,90,247.79
INV5065,,Producto 102,431,163.88,ID Bodega Nulo; ,431,163.88
INV5069,BOD999,Producto 80,61,168.28,Bodega no existente (999); ,61,168.28
INV5074,BOD103,Producto 4,,258.68,Cantidad inválida; ,0,258.68
INV5078,BOD106,Producto 92,,252.38,Cantidad inválida; ,0,252.38
INV5087,BOD103,Producto 59,,194.04,Cantidad inválida; ,0,194.04
INV5090,,Producto 11,104,$ 203.84,ID Bodega Nulo; ,104,203.84
INV5107,,Producto 6,366,197.47,ID Bodega Nulo; ,366,197.47
INV5111,BOD999,Producto 69,439,144.96,Bodega no existente (999); ,439,144.96
INV5116,,Producto 51,223,151.17,ID Bodega Nulo; ,223,151.17
INV5120,BOD103,Producto 100,,260.22,Cantidad inválida; ,0,260.22
INV5146,BOD101,Producto 108,sin dato,323.83 USD,Cantidad inválida; ,0,323.83
